timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1691732131690,434,HTTP Request,200,OK,Assertions 1-1,text,true,,45656,244,2,2,https://service.rdcd.gov.bd,14,0,7
1691732131690,14,HTTP Request-0,301,Moved Permanently,Assertions 1-1,text,true,,483,122,2,2,http://service.rdcd.gov.bd/,14,0,7
1691732131704,420,HTTP Request-1,200,OK,Assertions 1-1,text,true,,45173,122,2,2,https://service.rdcd.gov.bd,372,0,239
1691732132022,166,HTTP Request,200,OK,Assertions 1-2,text,true,,45656,244,1,1,https://service.rdcd.gov.bd,15,0,6
1691732132022,15,HTTP Request-0,301,Moved Permanently,Assertions 1-2,text,true,,483,122,1,1,http://service.rdcd.gov.bd/,15,0,6
1691732132038,150,HTTP Request-1,200,OK,Assertions 1-2,text,true,,45173,122,1,1,https://service.rdcd.gov.bd,136,0,21
1691732132356,195,HTTP Request,200,OK,Assertions 1-3,text,true,,45656,244,1,1,https://service.rdcd.gov.bd,14,0,4
1691732132356,15,HTTP Request-0,301,Moved Permanently,Assertions 1-3,text,true,,483,122,1,1,http://service.rdcd.gov.bd/,14,0,4
1691732132371,180,HTTP Request-1,200,OK,Assertions 1-3,text,true,,45173,122,1,1,https://service.rdcd.gov.bd,128,0,27
